1  100000000	1.115	0.000583626	1.11498	0.000581949
2  100000000	0.557639	8.7817e-05	1.11341	0.000236174
3  100000000	0.372235	0.000608994	1.11367	0.00300096
4  100000000	0.282631	0.000855054	1.12598	0.00559604
5  100000000	0.228077	0.00365426	1.13724	0.0325948
6  100000000	0.186487	0.000234371	1.11422	0.0171219
7  100000000	0.160078	4.55716e-05	1.11783	0.00310491
8  100000000	0.143324	0.00216308	1.13872	0.0239306
9  100000000	0.184182	0.00946604	1.31819	0.0401488
10  100000000	0.171719	0.000479529	1.44625	0.00544472
11  100000000	0.156212	0.000167388	1.48528	0.00117663
12  100000000	0.14382	0.000313573	1.55212	0.00271883
13  100000000	0.13243	0.000606472	1.60461	0.00281782
14  100000000	0.123085	0.000635965	1.66248	0.0199729
15  100000000	0.114784	0.000288362	1.67935	0.0369492
16  100000000	0.111943	0.00403174	1.74815	0.0377227
