1  100000000	1.08496	0.00109571	1.08494	0.00112289
2  100000000	0.556092	0.000256293	1.10886	0.000616597
3  100000000	0.362164	0.000294119	1.08484	0.00713683
4  100000000	0.271486	0.00025359	1.08047	0.0073235
5  100000000	0.218144	0.000505784	1.0852	0.00482883
6  100000000	0.181843	0.00083579	1.08794	0.0205068
7  100000000	0.155707	0.000469974	1.07973	0.0163568
8  100000000	0.137551	0.00185966	1.09547	0.0330869
9  100000000	0.17441	0.0103778	1.28412	0.0166467
10  100000000	0.16391	6.77019e-05	1.39996	0.00423203
11  100000000	0.148998	0.000272597	1.4692	0.0280835
12  100000000	0.136743	0.000478445	1.52471	0.0461691
13  100000000	0.126662	0.00116835	1.54486	0.0135213
14  100000000	0.120285	0.000426892	1.63345	0.0136267
15  100000000	0.11342	0.00605936	1.64539	0.0765379
16  100000000	0.115516	0.0109921	1.77668	0.104882
