1  100000000	1.27972	0.00382813	1.2797	0.00380848
2  100000000	0.650303	0.0159298	1.2929	0.0250408
3  100000000	0.425757	0.00029952	1.27452	0.000823779
4  100000000	0.320721	0.00199475	1.27834	0.00132583
5  100000000	0.257222	0.000486706	1.28567	0.0168171
6  100000000	0.221521	0.0116226	1.30508	0.047659
7  100000000	0.192233	0.00408235	1.33467	0.0298251
8  100000000	0.181728	0.0293152	1.3399	0.10161
9  100000000	0.235054	0.000585977	1.51889	0.000540937
10  100000000	0.217287	0.00433576	1.68233	0.0134732
11  100000000	0.201644	0.00418294	1.80372	0.00242184
12  100000000	0.199909	0.000327294	2.06382	0.0145954
13  100000000	0.18439	0.000196914	2.14447	0.0133113
14  100000000	0.171588	0.00013259	2.26643	0.09681
15  100000000	0.160209	0.000737106	2.32649	0.0332383
16  100000000	0.151759	0.00117263	2.41695	0.0159092
